Abdel Nader,Iowa St.,B12,35,76.9,103.5,20.7,55.5,58.35,2.9,14.3,8,19.7,78,106,0.736,109,197,0.553,52,140,0.371,2.2,1.9,31.5,Sr,06-Jun,2,2.60502,111.367,3.6,2016,34544,all,51.6,0.68357622,76,110,33,87,0.6909,0.3793,26,27,0.963,58,103.21,97.815,3.32365,211.419,4.02682,2.35256,1.67426,2.72384,31.0857,1.531,1.19284,0.7429,4.2286,4.9714,1.5429,1.0571,0.6857,12.9143,Wing G,7.21419
Admiral Schofield,Tennessee,SEC,32,44,114.3,19.1,50.5,54.1,7.3,14.8,9.7,10.8,35,39,0.897,67,124,0.54,25,83,0.301,1.7,1.1,18.8,Fr,04-Jun,5,2.02938,118.253,5.9,2016,42130,all,50,1.31810908,41,65,26,59,0.6308,0.4407,5,7,0.7143,42,105.932,101.647,1.771,109.879,2.45226,2.8078,-0.355536,2.15397,18.6875,2.01705,0.136917,1.3438,2.6875,4.0312,0.9062,0.375,0.3125,7.625,Wing G,7.80368
Admiral Schofield,Tennessee,SEC,28,42.8,106.7,20.4,51.5,56.29,5.1,20.1,8.4,16.4,53,68,0.779,57,118,0.483,21,54,0.389,1,0.9,39.5,So,04-Jun,5,1.82669,114.588,4.9,2017,42130,all,50,0.6562254,32,51,25,67,0.6275,0.3731,6,6,1,42,101.321,95.8297,2.21657,103.022,2.29399,1.30456,0.989426,3.42117,19.0357,1.93851,1.48266,0.9286,3.5,4.4286,0.75,0.3214,0.1786,8.2143,Wing G,5.55885
Admiral Schofield,Tennessee,SEC,35,69.6,108,24.4,52.8,55.38,6.7,19.4,11.8,15.7,68,90,0.756,113,234,0.483,64,162,0.395,1.8,2.1,22.7,Jr,05-Jun,5,3.09729,119.488,4.2,2018,42130,all,50,0.82538892,56,89,57,145,0.6292,0.3931,13,14,0.9286,42,94.9725,89.1708,3.89349,201.328,6.31317,3.28,3.03316,6.44635,28.0571,4.00644,2.43991,1.6,4.8,6.4,1.4857,0.9714,0.4286,13.8857,Wing F,9.81829
Admiral Schofield,Tennessee,SEC,36,78.2,109.2,24.4,54.8,56.23,4.5,16.3,11.7,14.4,60,86,0.698,159,317,0.502,73,173,0.422,1.7,1.6,17.6,Sr,06-Jun,5,3.75345,122.028,3.2,2019,42130,all,50,1.0714097,84,133,75,183,0.6316,0.4098,18,21,0.8571,42,100.172,94.5479,3.79046,219.529,5.04052,4.02465,1.01587,5.4047,31.7838,4.44481,0.95989,1.1622,4.973,6.1351,2.027,0.8919,0.4595,16.4865,Wing F,8.69864
Adreian Payne,Michigan St.,B10,33,22.4,91,18.8,47.9,48.5,12.1,18.4,3.5,21.5,17,35,0.486,34,70,0.486,0,1,0,10.1,1.8,49.3,Fr,10-Jun,5,0.323353,95.3286,5.1,2011,16825,all,95.8,0.24995875,28,43,6,27,0.6512,0.2222,12,12,1,15,93.8686,86.5982,1.2537,66.2424,2.16934,-2.94027,5.10962,0.89969,9.0606,-2.09199,2.99168,0.9394,1.4545,2.3939,0.1515,0.2727,0.8485,2.5758,C,0.202153
Adreian Payne,Michigan St.,B10,37,44.5,111.7,19.6,56.9,60.16,11,16.9,3.6,18.3,62,89,0.697,97,171,0.567,1,2,0.5,6.9,2.3,51.4,So,10-Jun,5,2.02039,117.05,5.1,2012,16825,all,95.8,0.3076558,62,85,35,86,0.7294,0.407,31,34,0.9118,15,87.3314,81.8173,2.75125,143.296,6.50447,1.4569,5.04757,5.72908,17.8649,1.8618,3.86729,1.5405,2.7027,4.2432,0.3243,0.6757,1.0541,7,PF/C,0.184154
Adreian Payne,Michigan St.,B10,35,64.6,114.2,20.4,58,63.06,9.9,24,6,20.9,85,101,0.842,117,201,0.582,16,42,0.381,5.5,1.8,41.6,Jr,10-Jun,5,3.4459,122.352,4,2013,16825,all,95.8,0.40324037,75,102,42,99,0.7353,0.4242,39,43,0.907,15,87.7897,81.8643,3.94704,197.371,7.46183,2.84486,4.61697,7.39022,25.8286,3.87216,3.51806,2.0286,5.4857,7.5143,0.7143,0.7429,1.2571,10.4857,PF/C,2.88248
Adreian Payne,Michigan St.,B10,31,56.7,113.5,27.1,56.5,60.66,6.8,22.9,10.2,16.1,109,138,0.79,134,250,0.536,44,104,0.423,3.8,1,39,Sr,10-Jun,5,4.11945,130.155,3.7,2014,16825,all,95.8,0.65078975,74,104,60,146,0.7115,0.411,38,42,0.9048,15,96.6971,91.739,3.68035,170.629,5.16282,3.50668,1.65614,6.39284,28.0645,5.0434,1.34944,1.5484,5.7097,7.2581,1.3226,0.4839,0.9032,16.4194,Stretch 4,7.20749
Ahmad Nivins,Saint Joseph's,A10,32,96.5,119.7,22.9,61.2,66.99,12.5,22.6,6.1,18.3,203,258,0.787,205,334,0.614,0,1,0,4.6,1.3,77,Sr,09-Jun,,5.71878,126.974,2.2,2009,3344,all,73.8,0.36780932,,,,,,,,,,56,95.127,93.3467,4.40826,261.974,5.55748,3.18525,2.37223,6.58919,39.3438,5.69052,0.898667,3.9375,7.875,11.8125,1,0.8125,1.75,19.1562,,0.0481092
