player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos,player_tier
Jabari Bird,California,P12,27,62.5,107,21.6,54.2,56.23,3.5,13.2,7.7,16.1,42,55,0.764,75,140,0.536,65,178,0.365,0.8,1.3,17.3,Sr,06-Jun,23,2.87215,113.069,2.4,2017,31372,all,96,0.55996541,47,69,28,70,0.6812,0.4,18,20,0.9,56,96.9727,92.2512,4.03116,144.179,3.3703,1.99916,1.37114,5.07982,31.963,3.44276,1.63706,0.963,3.7407,4.7037,1.037,0.6667,0.2222,14.3333,Wing G,7
Jack McClinton,Miami FL,ACC,31,79.8,119,26.8,56.6,61.08,2,8.8,21.1,18,112,127,0.882,95,211,0.45,99,219,0.452,0.1,1.4,29.5,Sr,01-Jun,,5.54455,134.35,2,2009,1188,all,,1.07409389,,,,,,,,,,51,103.536,97.9453,3.13544,150.338,5.81734,6.51772,-0.700374,8.97775,32.2903,8.22618,0.751575,0.5806,2.5806,3.1613,2.8065,0.7419,0.0323,19.3226,,7
Jacob Evans III,Cincinnati,Amer,36,76.9,114.2,22,50.7,54.27,5.2,12,20,15.6,86,114,0.754,101,215,0.47,60,162,0.37,3.7,2.6,30.2,Jr,06-Jun,1,3.35094,118.852,2.6,2018,38797,all,74.2,1.79365717,52,84,49,133,0.619,0.3684,13,15,0.8667,28,87.5121,85.6266,4.67584,219.14,8.87742,3.58559,5.29184,9.06766,30.75,4.35947,4.70818,1.3889,3.3333,4.7222,3.1389,1.3056,0.9722,13,Wing G,7
Jaden Springer,Tennessee,SEC,25,60,106.1,26.2,51.1,57.01,4.6,10.9,24.1,20.6,81,100,0.81,86,181,0.475,20,46,0.435,2.2,2.7,44.1,Fr,04-Jun,11,3.10973,119.83,3.1,2021,73275,all,97.2,1.21666665,50,76,37,106,0.6579,0.3491,4,5,0.8,28,93.0705,88.6103,3.47586,126.99,4.93821,2.23813,2.70008,5.80763,25.92,3.15568,2.65195,1.04,2.48,3.52,2.92,1.2,0.48,12.52,Combo G,7
Jahmi'us Ramsey,Texas Tech,B12,27,66.8,102.8,24.7,53,54.42,3,12.3,16.1,15.2,50,78,0.641,88,195,0.451,60,141,0.426,2.5,2.5,23.2,Fr,04-Jun,3,3.1256,114.492,2.8,2020,71183,all,93.8,1.11109996,52,99,36,95,0.5253,0.3789,5,9,0.5556,43,92.1441,88.8652,4.12537,163.728,5.25894,3.00104,2.2579,5.7293,31.1852,3.79178,1.93752,0.7407,3.2593,4,2.2222,1.3333,0.6667,15.037,Combo G,7
JaJuan Johnson,Purdue,B10,34,88.1,113.9,27.3,50.9,56.36,7.9,20.2,6.4,10.3,169,209,0.809,242,469,0.516,15,51,0.294,6.7,1.5,40.2,Sr,10-Jun,25,5.65182,131.13,1.8,2011,203,all,91.6,0.58927814,49,74,193,395,0.6622,0.4886,23,26,0.8846,27,89.3372,84.06,5.24379,262.089,7.16089,3.02668,4.13421,9.51149,35.3824,6.66198,2.84951,2.4118,6.1471,8.5588,0.9706,0.8824,2.3235,20.5294,PF/C,7
Jalen Harris,Nevada,MWC,30,79.6,111,31.8,51.3,56.07,2.5,17.5,26.5,12.8,135,164,0.823,156,315,0.495,67,185,0.362,0.5,1.9,32.8,Jr,05-Jun,2,5.01931,129.312,2.8,2020,47012,all,,1.63887494,89,146,67,169,0.6096,0.3964,22,26,0.8462,59,99.7164,97.5526,3.40035,201.8,5.64826,5.70053,-0.0522651,7.01539,33.0333,6.33109,0.684294,0.7333,5.6667,6.4,3.9333,1.1333,0.1333,21.6,Combo G,7
Jamaal Franklin,San Diego St.,MWC,32,82.6,101.4,29.8,45.6,53.41,5.6,26.3,21.7,20.7,173,219,0.79,118,247,0.478,41,147,0.279,2.3,3,55.6,Jr,05-Jun,21,3.94297,118.276,3.2,2013,16788,all,,0.96330221,60,98,58,149,0.6122,0.3893,16,16,1,41,85.7859,82.2666,5.00574,256.866,8.17522,3.08264,5.09257,8.01001,33.1875,4.03909,3.97092,1.5938,7.7812,9.375,3.2812,1.625,0.7188,16.625,Wing F,7
James Young,Kentucky,SEC,40,80.2,111.7,21.8,49.8,53.64,3.7,11,10.8,15.9,125,177,0.706,101,215,0.47,82,235,0.349,0.6,1.4,39.3,Fr,06-Jun,1,3.736,121.225,2.6,2014,28736,all,98.4,0.89333331,56,89,45,126,0.6292,0.3571,20,22,0.9091,17,103.077,96.9728,3.64344,199.576,4.71558,4.20626,0.509324,5.06622,32.4,3.9176,1.14862,1.025,3.25,4.275,1.675,0.75,0.2,14.325,Wing G,7
Jared Butler,Baylor,B12,30,75.8,117.3,26.9,57.3,59.87,1.7,11.3,27.8,20,71,91,0.78,100,191,0.524,77,185,0.416,1.3,3.7,24.2,Jr,03-Jun,12,5.12431,133.982,3.2,2021,66113,all,80.8,1.69413758,65,102,35,89,0.6373,0.3933,5,6,0.8333,40,93.0658,88.9811,4.02518,187.727,9.75719,7.21463,2.54256,10.7422,30.4333,7.35138,3.39086,0.4333,2.8667,3.3,4.8,1.9667,0.3667,16.7333,Scoring PG,7
